Law Pinecone Indexing Report - Generated on 2025-03-25 09:13:05
FULL MODE
Total .json files processed: 4190
Successfully upserted: 4190
Failed to upsert: 0
All files upserted? YES
Total execution time: 3h 4m 3s

Time taken per file:
  - 118_105_C2025C00029VOL03_20250324_220001.json: 0.84 sec
  - 118_10_C2025C00029VOL03_20250324_220001.json: 0.97 sec
  - 118_110_C2025C00029VOL03_20250324_220001.json: 1.06 sec
  - 118_115_C2025C00029VOL03_20250324_220001.json: 1.11 sec
  - 118_120_C2025C00029VOL03_20250324_220001.json: 0.91 sec
  - 118_125_C2025C00029VOL03_20250324_220001.json: 0.96 sec
  - 118_12_C2025C00029VOL03_20250324_220001.json: 0.94 sec
  - 118_130_C2025C00029VOL03_20250324_220001.json: 0.83 sec
  - 118_135_C2025C00029VOL03_20250324_220001.json: 0.97 sec
  - 118_13_C2025C00029VOL03_20250324_220001.json: 0.84 sec
  - 118_140_C2025C00029VOL03_20250324_220001.json: 0.90 sec
  - 118_145_C2025C00029VOL03_20250324_220001.json: 0.88 sec
  - 118_147_C2025C00029VOL03_20250324_220001.json: 0.89 sec
  - 118_150_C2025C00029VOL03_20250324_220001.json: 0.92 sec
  - 118_155_C2025C00029VOL03_20250324_220001.json: 0.90 sec
  - 118_15_C2025C00029VOL03_20250324_220001.json: 1.00 sec
  - 118_160_C2025C00029VOL03_20250324_220001.json: 0.93 sec
  - 118_165_C2025C00029VOL03_20250324_220001.json: 0.85 sec
  - 118_170_C2025C00029VOL03_20250324_220001.json: 0.88 sec
  - 118_175_C2025C00029VOL03_20250324_220001.json: 0.84 sec
  - 118_178_C2025C00029VOL03_20250324_220001.json: 0.92 sec
  - 118_180_C2025C00029VOL03_20250324_220001.json: 0.85 sec
  - 118_185_C2025C00029VOL03_20250324_220001.json: 0.94 sec
  - 118_190_C2025C00029VOL03_20250324_220001.json: 0.86 sec
  - 118_192_C2025C00029VOL03_20250324_220001.json: 1.12 sec
  - 118_195_C2025C00029VOL03_20250324_220001.json: 0.91 sec
  - 118_197_C2025C00029VOL03_20250324_220001.json: 0.95 sec
  - 118_200_C2025C00029VOL03_20250324_220001.json: 0.90 sec
  - 118_205_C2025C00029VOL03_20250324_220001.json: 0.90 sec
  - 118_20_C2025C00029VOL03_20250324_220001.json: 0.90 sec
  - 118_210_C2025C00029VOL03_20250324_220001.json: 1.18 sec
  - 118_215_C2025C00029VOL03_20250324_220001.json: 1.00 sec
  - 118_218_C2025C00029VOL03_20250324_220001.json: 0.93 sec
  - 118_21_C2025C00029VOL03_20250324_220001.json: 0.92 sec
  - 118_220_C2025C00029VOL03_20250324_220001.json: 0.86 sec
  - 118_222_C2025C00029VOL03_20250324_220001.json: 0.88 sec
  - 118_225_C2025C00029VOL03_20250324_220001.json: 0.84 sec
  - 118_227_C2025C00029VOL03_20250324_220001.json: 1.08 sec
  - 118_22_C2025C00029VOL03_20250324_220001.json: 1.40 sec
  - 118_240_C2025C00029VOL03_20250324_220001.json: 0.84 sec
  - 118_245_C2025C00029VOL03_20250324_220001.json: 0.86 sec
  - 118_24_C2025C00029VOL03_20250324_220001.json: 0.88 sec
  - 118_250_C2025C00029VOL03_20250324_220001.json: 0.98 sec
  - 118_255_C2025C00029VOL03_20250324_220001.json: 0.86 sec
  - 118_25_C2025C00029VOL03_20250324_220001.json: 1.14 sec
  - 118_260_C2025C00029VOL03_20250324_220001.json: 1.11 sec
  - 118_265_C2025C00029VOL03_20250324_220001.json: 0.78 sec
  - 118_27_C2025C00029VOL03_20250324_220001.json: 0.79 sec
  - 118_300_C2025C00029VOL03_20250324_220001.json: 1.10 sec
  - 118_305_C2025C00029VOL03_20250324_220001.json: 0.82 sec
  - 118_30_C2025C00029VOL03_20250324_220001.json: 1.06 sec
  - 118_310_C2025C00029VOL03_20250324_220001.json: 0.91 sec
  - 118_313_C2025C00029VOL03_20250324_220001.json: 1.24 sec
  - 118_315_C2025C00029VOL03_20250324_220001.json: 1.12 sec
  - 118_320_C2025C00029VOL03_20250324_220001.json: 0.79 sec
  - 118_350_C2025C00029VOL03_20250324_220001.json: 0.97 sec
  - 118_35_C2025C00029VOL03_20250324_220001.json: 0.92 sec
  - 118_37_C2025C00029VOL03_20250324_220001.json: 1.07 sec
  - 118_400_C2025C00029VOL03_20250324_220001.json: 1.09 sec
  - 118_405_C2025C00029VOL03_20250324_220001.json: 1.30 sec
  - 118_407_C2025C00029VOL03_20250324_220001.json: 1.10 sec
  - 118_408_C2025C00029VOL03_20250324_220001.json: 1.06 sec
  - 118_40_C2025C00029VOL03_20250324_220001.json: 2.57 sec
  - 118_410_C2025C00029VOL03_20250324_220001.json: 1.35 sec
  - 118_415_C2025C00029VOL03_20250324_220001.json: 1.55 sec
  - 118_420_C2025C00029VOL03_20250324_220001.json: 0.91 sec
  - 118_425_C2025C00029VOL03_20250324_220001.json: 1.02 sec
  - 118_427_C2025C00029VOL03_20250324_220001.json: 1.06 sec
  - 118_428_C2025C00029VOL03_20250324_220001.json: 1.10 sec
  - 118_42_C2025C00029VOL03_20250324_220001.json: 0.83 sec
  - 118_430_C2025C00029VOL03_20250324_220001.json: 0.94 sec
  - 118_432_C2025C00029VOL03_20250324_220001.json: 0.87 sec
  - 118_435_C2025C00029VOL03_20250324_220001.json: 0.88 sec
  - 118_440_C2025C00029VOL03_20250324_220001.json: 1.14 sec
  - 118_445_C2025C00029VOL03_20250324_220001.json: 0.99 sec
  - 118_450_C2025C00029VOL03_20250324_220001.json: 1.10 sec
